id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
F36,english,What is the term for a word that has the same spelling as another word but a different meaning and possibly pronunciation?,Homonym,Homophone,Homograph,Synonym,C,"A homograph is a word that is spelled the same as another word but has a different meaning and sometimes a different pronunciation. Examples include 'bow' (to bend) and 'bow' (the front of a ship)."
F37,english,Which of the following is NOT one of the four main sentence types?,Declarative,Interrogative,Imperative,Comparative,D,"The four main sentence types are declarative (makes a statement), interrogative (asks a question), imperative (gives a command), and exclamatory (expresses strong emotion). Comparative is not a sentence type."
F38,english,What is the correct term for a phrase that cannot be interpreted literally?,Literal phrase,Idiomatic expression,Concrete language,Technical jargon,B,"An idiomatic expression is a phrase whose meaning cannot be derived from the literal definitions of the individual words, such as 'kick the bucket' (to die) or 'break a leg' (good luck)."
F39,english,Which of these words is an example of an abstract noun?,Chair,Tree,Freedom,Book,C,"An abstract noun names something that cannot be perceived by the five senses—you cannot see, hear, touch, taste, or smell it. 'Freedom' is an abstract concept, unlike the concrete nouns 'chair,' 'tree,' and 'book.'"
F40,english,What is the term for a statement that appears to be contradictory but conveys a truth?,Oxymoron,Paradox,Antithesis,Hyperbole,B,"A paradox is a statement that seems contradictory or absurd but expresses a possible truth. Examples include 'less is more' or 'the child is father of the man.'"
F41,english,Which literary movement emphasized objective observation of contemporary life and society?,Romanticism,Realism,Modernism,Surrealism,B,"Realism was a 19th-century literary movement that emphasized the representation of contemporary life and society as it exists, without idealization or dramatic devices."
F42,english,Which of the following sentences demonstrates parallelism?,She likes swimming, hiking, and to ride bikes,She likes to swim, to hike, and to ride bikes,She likes swimming, hiking, and bike riding,She likes to swim, hiking, and rides bikes,B,"Parallelism in writing means using the same pattern of words for two or more ideas that have the same level of importance. In the correct answer, all three verbs are in the infinitive form ('to swim,' 'to hike,' 'to ride')."
F43,english,What is the name for a word or phrase created by transposing the letters in another word or phrase?,Anagram,Acronym,Palindrome,Homograph,A,"An anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. For example, 'listen' is an anagram of 'silent.'"
F44,english,Which of the following is a compound-complex sentence?,I went to the store and I bought milk,Although it was raining, I went for a walk,I went to the store, and I bought milk when I got there,Although it was raining, I went for a walk, and I got wet because I forgot my umbrella,D,"A compound-complex sentence contains at least two independent clauses and at least one dependent clause. The correct answer has two independent clauses ('I went for a walk' and 'I got wet') and two dependent clauses ('Although it was raining' and 'because I forgot my umbrella')."
F45,english,What is the name for the technique where an author gives hints about what might happen later in the story?,Foreshadowing,Flashback,Exposition,Rising action,A,"Foreshadowing is a literary device in which an author gives hints or clues about events that will occur later in the story, creating suspense or preparing the reader for upcoming developments."
F46,english,Which sentence contains a split infinitive?,To quickly run to the store,To run quickly to the store,To run to the store quickly,Quickly to run to the store,A,"A split infinitive occurs when a word or phrase (usually an adverb) is inserted between 'to' and the verb in an infinitive construction. In 'to quickly run,' the adverb 'quickly' splits the infinitive 'to run.'"
F47,english,What is the term for a word that has nearly the same meaning as another word?,Antonym,Homonym,Synonym,Homophone,C,"A synonym is a word that means exactly or nearly the same as another word. Examples include pairs like 'happy/glad,' 'fast/quick,' and 'big/large.'"
F48,english,Which of the following is an example of assonance?,The silky snake slithered slowly,The keen king kissed the queen,The light of the bright night sky,The cat sat on the mat,C,"Assonance is the repetition of vowel sounds within nearby words. In 'The light of the bright night sky,' the long 'i' sound is repeated in 'light,' 'bright,' and 'night.'"
F49,english,What term describes words that are no longer in common use?,Colloquialisms,Neologisms,Archaisms,Jargon,C,"Archaisms are words or expressions that are no longer in everyday use, though they might still be used for special effect in poetry or historical fiction. Examples include 'thee,' 'thou,' and 'wherefore.'"
F50,english,Which of the following illustrates the correct use of a colon?,The cake needs: flour, sugar, and eggs,I have one goal: to win the championship,John said: he would be late,The meeting is at: 3 PM,B,"A colon is correctly used after an independent clause to introduce a list, explanation, quotation, or amplification. The sentence 'I have one goal: to win the championship' uses a colon to introduce an amplification of 'one goal.'"
F51,english,What is the rhetorical device in which an absent person, abstract concept, or inanimate object is addressed directly?,Allegory,Apostrophe,Allusion,Analogy,B,"Apostrophe is a figure of speech in which a speaker directly addresses someone absent, an abstract quality, or an inanimate object. Examples include 'O Death, where is thy sting?' or 'Star light, star bright...'"
F52,english,Which of the following is NOT a function of the comma?,To separate items in a list,To join independent clauses without a conjunction,To set off nonessential elements,To separate a city from a state,B,"Commas should not be used to join independent clauses without a conjunction (this error is called a comma splice). A semicolon, conjunction, or period should be used instead."
F53,english,What is the term for the repetition of vowel sounds in nearby words?,Alliteration,Assonance,Consonance,Onomatopoeia,B,"Assonance is the repetition of similar vowel sounds in neighboring words, as in 'The rain in Spain stays mainly in the plain.'"
F54,english,Which of these sentences demonstrates correct subject-verb agreement?,The team are playing well,The team is playing well,The team were playing well,The team have been playing well,B,"With collective nouns like 'team,' American English typically uses singular verbs. 'The team is playing well' shows correct subject-verb agreement."
F55,english,What is the term for the implied or suggested meaning of a word in addition to its literal meaning?,Connotation,Denotation,Definition,Allusion,A,"Connotation refers to the cultural or emotional associations that accompany a word, beyond its literal dictionary definition (denotation). For example, 'home' denotes a dwelling but connotes warmth, security, and belonging."
F56,english,Which literary device involves an intentional departure from the expected norm or pattern?,Irony,Paradox,Anachronism,Juxtaposition,A,"Irony involves expressing something using language that normally signifies the opposite, often for humorous or emphatic effect. It can also refer to a situation that is strange or contrary to what was expected."
F57,english,What is the term for a statement or proposition that contradicts itself?,Tautology,Paradox,Oxymoron,Hyperbole,B,"A paradox is a statement that appears to be self-contradictory or absurd but may express a possible truth. Examples include 'less is more' or 'this statement is false.'"
F58,english,Which sentence contains a misplaced modifier?,I only ate one cookie,I ate only one cookie,Only I ate one cookie,I ate one only cookie,A,"In 'I only ate one cookie,' the adverb 'only' appears to modify 'ate,' suggesting the speaker did nothing else with the cookie. If the intended meaning is that exactly one cookie was eaten, the correct version is 'I ate only one cookie.'"
F59,english,What is the term for the part of a story where the main conflict is resolved?,Exposition,Rising action,Climax,Resolution,D,"The resolution, also called the denouement, is the part of a story's plot that occurs after the climax, in which conflicts are resolved and loose ends are tied up."
F60,english,Which of the following is an example of metonymy?,The pen is mightier than the sword,The White House announced a new policy,All hands on deck,He has a good heart,B,"Metonymy is a figure of speech in which a thing or concept is referred to by the name of something closely associated with it. 'The White House' represents the U.S. executive branch or president."
F61,english,What is the term for words borrowed from another language?,Foreign words,Cognates,Loan words,Calques,C,"Loan words are words adopted from one language and incorporated into another without translation. Examples in English include 'café' from French, 'kindergarten' from German, and 'tsunami' from Japanese."
F62,english,Which of the following is the correct use of the Oxford comma?,Apples, oranges and bananas,Apples, oranges, and bananas,Apples, oranges, bananas,Apples and oranges and bananas,B,"The Oxford (or serial) comma is the comma placed immediately before the coordinating conjunction (usually 'and' or 'or') in a series of three or more terms. 'Apples, oranges, and bananas' demonstrates its correct use."
F63,english,What is the correct term for the repetition of consonant sounds within words?,Alliteration,Assonance,Consonance,Onomatopoeia,C,"Consonance is the repetition of consonant sounds within words, especially at the ends of words. Unlike alliteration, which occurs at the beginning of words, consonance can occur anywhere in the words."
F64,english,Which literary technique presents contrasting ideas in close proximity to one another?,Juxtaposition,Personification,Symbolism,Foreshadowing,A,"Juxtaposition is a literary technique in which two contrasting elements are placed side by side to highlight their differences or create a specific effect. For example, 'It was the best of times, it was the worst of times.'"
F65,english,What is the term for a word created from the first letters of other words?,Acronym,Anagram,Abbreviation,Initialism,A,"An acronym is a word formed from the initial letters of other words and pronounced as a single word, such as 'NASA' or 'SCUBA.' An initialism, by contrast, is pronounced as individual letters, like 'FBI' or 'CIA.'"
F66,english,Which of these sentences demonstrates passive voice?,The chef prepared the meal,The meal was prepared by the chef,The chef is preparing the meal,The chef has prepared the meal,B,"In passive voice, the subject of the sentence receives the action rather than performs it. 'The meal was prepared by the chef' is passive because 'the meal' (which receives the action) is the subject."
F67,english,What is the name for a play on words that exploits multiple meanings or similar-sounding words?,Pun,Satire,Irony,Euphemism,A,"A pun is a play on words that exploits multiple meanings of a term, or similar-sounding words, for humorous or rhetorical effect. For example, 'Time flies like an arrow; fruit flies like a banana.'"
F68,english,Which of the following contains a properly placed modifying phrase?,Walking down the street, the birds sang loudly,Walking down the street, I saw the birds singing loudly,The birds sang loudly, walking down the street,I saw the birds walking down the street singing loudly,B,"The modifying phrase 'Walking down the street' should modify the subject of the main clause. In the correct sentence, 'I' is both the person walking and the subject of the main clause."
F69,english,What is the term for a concluding statement that follows logically from previous statements?,Syllogism,Premise,Conclusion,Argument,C,"A conclusion is the final proposition in a logical argument that follows necessarily from the premises. In formal logic, the conclusion is what a syllogism aims to prove or demonstrate."
F70,english,Which sentence contains a properly placed participial phrase?,Running to catch the bus, my books fell,Running to catch the bus, I dropped my books,My books, running to catch the bus, fell on the ground,My books fell while I was running to catch the bus,B,"A participial phrase should modify the subject of the sentence. In 'Running to catch the bus, I dropped my books,' 'running' correctly modifies 'I,' the subject."
F71,english,What is the literary device where an author references another work or cultural element?,Allusion,Allegory,Alliteration,Anagram,A,"An allusion is a brief and indirect reference to a person, place, thing, or idea of historical, cultural, literary, or political significance. For example, describing someone as 'meeting their Waterloo' alludes to Napoleon's defeat."
F72,english,Which of the following is a nonrestrictive clause correctly punctuated?,My sister who lives in Boston is visiting,My sister, who lives in Boston, is visiting,My sister, who lives in Boston is visiting,My sister who lives in Boston, is visiting,B,"A nonrestrictive clause adds information that is not essential to identifying the noun it modifies and should be set off by commas on both sides. 'Who lives in Boston' is nonrestrictive because it provides additional, non-essential information about 'my sister.'"
F73,english,What is the term for a style of writing or speaking that uses many more words than necessary?,Verbosity,Conciseness,Brevity,Clarity,A,"Verbosity refers to the use of an excessive number of words to express an idea—being wordy or long-winded. It often makes writing less clear and harder to understand."
F74,english,Which sentence demonstrates the correct use of the subjunctive mood?,I wish I was taller,If she was here, she would help,I suggest that he goes to the doctor,I demand that she be present at the meeting,D,"The subjunctive mood is used to express wishes, hypothetical situations, or demands. 'I demand that she be present' correctly uses 'be' instead of 'is' to express a demand."
F75,english,What is the literary technique where the author breaks the fourth wall to address the reader directly?,Apostrophe,Direct address,Aside,Soliloquy,B,"Direct address in literature occurs when the narrator or a character speaks directly to the reader, acknowledging their presence. It breaks the 'fourth wall' between the fictional world and the audience."
F76,english,Which of these is an example of cacophony in literature?,The murmuring of innumerable bees,The clash and clang of the cymbal's song,The soft whisper of the wind,The melodious tune of the flute,B,"Cacophony is the use of harsh, discordant sounds in literature, often to create an unpleasant effect. 'The clash and clang of the cymbal's song' uses harsh consonant sounds that create cacophony."
F77,english,What is the term for a figure of speech in which a whole is represented by a part or vice versa?,Metonymy,Synecdoche,Personification,Hyperbole,B,"Synecdoche is a figure of speech in which a part is used to represent the whole or vice versa. Examples include 'all hands on deck' (where 'hands' represents sailors) or 'The White House stated' (where 'The White House' represents the U.S. President or administration)."
F78,english,Which of the following is a correctly formed compound adjective?,A well known author,A well-known author,A wellknown author,A well known-author,B,"Compound adjectives (two or more words that together modify a noun) should be hyphenated when they precede the noun they modify. 'Well-known' is a compound adjective modifying 'author.'"
F79,english,What is the term for a deliberate repetition of a word or phrase at the beginning of successive clauses or sentences?,Anaphora,Epistrophe,Symploce,Anadiplosis,A,"Anaphora is the deliberate repetition of a word or phrase at the beginning of successive clauses or sentences for emphasis. Example: 'I have a dream that one day... I have a dream that...' from Martin Luther King Jr.'s famous speech."
F80,english,Which sentence demonstrates correct parallel structure?,She likes to swim, hike, and running,She likes swimming, hiking, and to run,She likes to swim, to hike, and to run,She likes swimming, hiking, and running,D,"Parallel structure requires the same grammatical form for similar elements in a sentence. In the correct answer, all three activities are expressed as gerunds (swimming, hiking, running)."
F81,english,What is the term for a sentence that contains only one independent clause?,Simple sentence,Compound sentence,Complex sentence,Compound-complex sentence,A,"A simple sentence consists of only one independent clause (a group of words with a subject and verb that expresses a complete thought). It has no dependent clauses."
F82,english,Which of the following is an example of an epithet?,Alexander the Great,William Shakespeare,Leonardo da Vinci,Albert Einstein,A,"An epithet is a descriptive term or phrase expressing a quality characteristic of the person or thing mentioned. 'The Great' is an epithet attached to Alexander's name."
F83,english,What is the term for the viewpoint from which a story is told?,Narrative,Plot,Point of view,Setting,C,"Point of view refers to the perspective from which a story is narrated, such as first-person ('I'), second-person ('you'), or third-person ('he/she/they')."
F84,english,Which sentence contains a correctly placed adverb?,She quickly ran to the store,She ran quickly to the store,She ran to the store quickly,She ran to quickly the store,A,"Adverbs can be placed in various positions, but they often come before the verb they modify. In 'She quickly ran to the store,' 'quickly' correctly modifies 'ran.'"
F85,english,What is the term for a long speech by one character in a play or novel?,Monologue,Dialogue,Soliloquy,Aside,A,"A monologue is a long speech by one character in a play or story. A soliloquy is a type of monologue where a character speaks their thoughts aloud when alone, revealing their inner feelings to the audience."
F86,english,Which of the following contains a correctly punctuated introductory clause?,Although it was raining I went for a walk,Although it was raining, I went for a walk,Although, it was raining I went for a walk,Although it was raining, I, went for a walk,B,"When a sentence begins with an introductory dependent clause, a comma should follow that clause. 'Although it was raining, I went for a walk' correctly places a comma after the introductory clause."
G1,general,Which of the following is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,"The Pacific Ocean is the largest and deepest ocean on Earth, covering approximately 63 million square miles (165 million square kilometers) and containing more than half of the free water on Earth."
G2,general,How many continents are there on Earth?,5,6,7,8,C,"There are seven continents on Earth: Africa, Antarctica, Asia, Australia/Oceania, Europe, North America, and South America."
G3,general,What is the capital city of Australia?,Sydney,Melbourne,Canberra,Perth,C,"Canberra is the capital city of Australia. It was specifically built to be the capital in the early 20th century as a compromise between Sydney and Melbourne, which both wanted to be the capital."
G4,general,Which of these animals is NOT a mammal?,Bat,Dolphin,Platypus,Penguin,D,"Penguins are birds, not mammals. They have feathers rather than fur or hair, lay eggs, and don't nurse their young with milk, which are all characteristics of birds rather than mammals."
G5,general,How many planets are in our solar system?,7,8,9,10,B,"According to the International Astronomical Union's definition established in 2006, there are eight planets in our solar system: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."
G6,general,Which of the following is not a primary color in the RGB color model?,Red,Green,Yellow,Blue,C,"In the RGB (Red, Green, Blue) color model used for digital displays, the primary colors are Red, Green, and Blue. Yellow is a secondary color created by mixing red and green light."
G7,general,What is the main component of Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,B,"Nitrogen makes up approximately 78% of Earth's atmosphere, while oxygen accounts for about 21%. Carbon dioxide and other gases make up the remaining 1%."
G8,general,Which of these countries is not in Europe?,Spain,Sweden,Egypt,Estonia,C,"Egypt is located in northeastern Africa, while Spain, Sweden, and Estonia are all European countries."
G9,general,What is the largest desert in the world?,Sahara Desert,Arabian Desert,Gobi Desert,Antarctic Desert,D,"The Antarctic Desert is the largest desert in the world, covering approximately 5.5 million square miles. Many people mistakenly think of the Sahara as the largest, but a desert is defined by its precipitation, not its temperature."
G10,general,Which of the following is not one of the Great Lakes of North America?,Lake Superior,Lake Michigan,Lake Ontario,Lake Champlain,D,"The five Great Lakes of North America are: Lake Superior, Lake Michigan, Lake Huron, Lake Erie, and Lake Ontario. Lake Champlain is a large lake but not considered one of the Great Lakes."
G11,general,Which blood type is considered the universal donor?,Type A,Type B,Type AB,Type O-,D,"Type O- (O negative) is considered the universal donor because it lacks the A, B, and Rh antigens, meaning it can be given to people with any blood type in an emergency."
G12,general,What is the hardest natural substance on Earth?,Steel,Titanium,Diamond,Graphene,C,"Diamond is the hardest naturally occurring substance on Earth, rating 10 on the Mohs scale of mineral hardness due to its tightly bound carbon atoms in a crystal lattice structure."
G13,general,Which of the following elements is a noble gas?,Oxygen,Chlorine,Hydrogen,Neon,D,"Neon is a noble gas, belonging to Group 18 of the periodic table. Noble gases have full outer electron shells, making them chemically inert under normal conditions."
G14,general,What is the average adult human body temperature in Celsius?,36.5°C,37.0°C,38.0°C,39.0°C,B,"The average normal body temperature for adults is generally accepted to be 37.0°C (98.6°F), although this can vary slightly among individuals and throughout the day."
G15,general,Which natural disaster is measured using the Richter scale?,Hurricane,Earthquake,Tornado,Volcanic eruption,B,"The Richter scale, developed by Charles F. Richter, is used to measure the magnitude of earthquakes. It is a logarithmic scale, meaning each number represents a tenfold increase in amplitude."
G16,general,What percentage of the human body is water?,50-60%,60-70%,70-80%,80-90%,B,"The human body is approximately 60-70% water by weight, with variations depending on age, sex, and body composition. Infants have a higher percentage of water than adults."
G17,general,Which planet has the most moons in our solar system?,Jupiter,Saturn,Uranus,Neptune,B,"As of 2023, Saturn has the most known moons with 83 confirmed moons, slightly more than Jupiter's 79 known moons. This number may change as more moons are discovered."
G18,general,What is the study of fungi called?,Mycology,Phycology,Bacteriology,Entomology,A,"Mycology is the scientific study of fungi. Phycology studies algae, bacteriology studies bacteria, and entomology studies insects."
G19,general,Which of these is not classified as a tectonic plate?,Pacific Plate,African Plate,Indian Plate,Arctic Plate,D,"The major tectonic plates include the Pacific, African, Eurasian, North American, South American, Antarctic, and Indo-Australian plates. There is no Arctic Plate; the Arctic region is primarily on the North American and Eurasian plates."
G20,general,What is the primary function of red blood cells in the human body?,Fighting infection,Blood clotting,Carrying oxygen,Producing antibodies,C,"The primary function of red blood cells (erythrocytes) is to transport oxygen from the lungs to the body's tissues and carbon dioxide from the tissues back to the lungs."
G21,general,Which of these instruments does not belong to the woodwind family?,Flute,Clarinet,Trumpet,Oboe,C,"The trumpet is a brass instrument, not a woodwind. The flute, clarinet, and oboe are all classified as woodwind instruments, even though the modern flute is typically made of metal."
G22,general,Which of the following is not considered one of the five basic tastes?,Sweet,Sour,Spicy,Umami,C,"The five basic tastes recognized by modern science are sweet, sour, salty, bitter, and umami. Spicy (or piquant) is not a taste but a pain sensation caused by capsaicin and similar compounds."
G23,general,What is the smallest prime number?,0,1,2,3,C,"2 is the smallest prime number and the only even prime number. A prime number is a natural number greater than 1 that cannot be formed by multiplying two smaller natural numbers. 0 and 1 are not considered prime numbers."
G24,general,Which layer of Earth's atmosphere contains the ozone layer?,Troposphere,Stratosphere,Mesosphere,Thermosphere,B,"The ozone layer is located in the stratosphere, approximately 15-35 km above Earth's surface. It absorbs most of the Sun's ultraviolet radiation, protecting life on Earth."
G25,general,What is the most abundant element in the universe?,Hydrogen,Helium,Oxygen,Carbon,A,"Hydrogen is the most abundant element in the universe, making up about 75% of all baryonic mass. It is the primary component of stars and gas giant planets."
G26,general,Which of these animals does not hibernate?,Bear,Hedgehog,Squirrel,Fox,D,"While some fox species may reduce activity in winter, they don't truly hibernate. Bears, hedgehogs, and squirrels all undergo true hibernation or a similar state of torpor during winter months."
G27,general,What is the name for the longest side of a right-angled triangle?,Adjacent,Opposite,Hypotenuse,Diameter,C,"In a right-angled triangle, the hypotenuse is the longest side and is always opposite to the right angle. The other two sides are called the 'adjacent' and 'opposite' relative to a specified angle."
G28,general,Which of these is not a programming language?,Python,Ruby,Falcon,Java,C,"Falcon is not a widely recognized programming language. Python, Ruby, and Java are all well-established programming languages used in software development."
G29,general,What is the chemical symbol for gold?,Au,Ag,Fe,Go,A,"The chemical symbol for gold is Au, derived from the Latin word 'aurum'. Ag is silver, Fe is iron, and Go is not a valid chemical symbol."
G30,general,Which country has the largest population in the world?,India,China,United States,Russia,A,"As of 2023, India surpassed China to become the world's most populous country, with a population over 1.4 billion people."
G31,general,What is the smallest bone in the human body?,Stapes,Femur,Radius,Coccyx,A,"The stapes (stirrup) in the middle ear is the smallest bone in the human body, measuring about 3 mm in length."
G32,general,Which of these is not a fundamental force of nature?,Gravity,Strong nuclear force,Weak nuclear force,Centrifugal force,D,"There are four fundamental forces in nature: gravity, electromagnetic force, strong nuclear force, and weak nuclear force. Centrifugal force is not a fundamental force but an apparent force experienced in a rotating reference frame."
G33,general,What is the official language of Brazil?,Spanish,Portuguese,French,English,B,"The official language of Brazil is Portuguese, making it the largest Portuguese-speaking country in the world. This is due to Brazil's colonization by Portugal in the 16th century."
G34,general,Which is the largest internal organ in the human body?,Heart,Liver,Brain,Lungs,B,"The liver is the largest internal organ in the human body, weighing about 1.5 kg in adults. It performs over 500 vital functions including detoxification, protein synthesis, and production of biochemicals for digestion."
G35,general,What gas do plants primarily absorb during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,"During photosynthesis, plants absorb carbon dioxide (CO₂) from the atmosphere and use it, along with water and sunlight, to produce glucose and oxygen."
G36,general,Which celestial object is closest to Earth?,The Sun,The Moon,Venus,Mars,B,"The Moon is Earth's only natural satellite and is the closest celestial object to our planet, with an average distance of about 384,400 kilometers (238,855 miles)."
G37,general,What type of rock is formed by the cooling and solidification of magma or lava?,Sedimentary,Metamorphic,Igneous,Composite,C,"Igneous rocks form when molten rock (magma or lava) cools and solidifies. Examples include granite (formed from magma underground) and basalt (formed from lava on the surface)."
G38,general,Which of these musical terms indicates to play softly?,Forte,Piano,Allegro,Crescendo,B,"In musical notation, 'piano' (p) instructs musicians to play softly. 'Forte' (f) means to play loudly, 'allegro' indicates a fast tempo, and 'crescendo' means gradually getting louder."
G39,general,What is the main function of the mitochondria in a cell?,Protein synthesis,Energy production,Cell division,Waste removal,B,"Mitochondria are often called the 'powerhouses of the cell' because their primary function is to produce energy in the form of ATP (adenosine triphosphate) through cellular respiration."
G40,general,Which of these countries is not a permanent member of the UN Security Council?,United States,Russia,Germany,China,C,"The five permanent members of the UN Security Council are the United States, Russia, China, France, and the United Kingdom. Germany is not a permanent member."
G41,general,What is the standard atomic weight of carbon?,6,12,14,16,B,"The standard atomic weight of carbon is approximately 12.011, but the most common isotope, carbon-12, has an atomic weight of exactly 12 and is used as the standard for measuring atomic mass."
G42,general,Which of these animals is considered a marsupial?,Kangaroo,Elephant,Platypus,Penguin,A,"Kangaroos are marsupials, a group of mammals that give birth to underdeveloped young that continue to develop in a pouch. Other marsupials include koalas, wombats, and opossums."
G43,general,What is the largest organ of the human body?,Liver,Brain,Skin,Small intestine,C,"The skin is the largest organ of the human body, with a surface area of about 2 square meters in adults. It serves as a protective barrier and helps regulate body temperature."
G44,general,Which of these is not a wind instrument?,Saxophone,Violin,Flute,Clarinet,B,"The violin is a string instrument played with a bow. The saxophone, flute, and clarinet are all wind instruments that produce sound when the player blows air through them."
G45,general,What is the closest star to Earth besides the Sun?,Proxima Centauri,Alpha Centauri,Sirius,Betelgeuse,A,"Proxima Centauri is the closest star to Earth beyond our Sun, located about 4.2 light-years away. It is part of the Alpha Centauri star system but is the closest individual star."
G46,general,Which of these is not a type of cloud?,Cumulus,Stratus,Nimbus,Nebulus,D,"There are three primary cloud types: cumulus (heaped), stratus (layered), and cirrus (wispy). Nimbus refers to a rain cloud. 'Nebulus' is not a meteorological cloud type (a nebula is an astronomical cloud of gas and dust)."
G47,general,What is the chemical formula for water?,H2O,CO2,O2,H2O2,A,"Water has the chemical formula H₂O, indicating that each molecule consists of two hydrogen atoms bonded to one oxygen atom."
G48,general,Which of these is not a mammal?,Platypus,Bat,Eagle,Dolphin,C,"Eagles are birds, not mammals. Despite their unusual characteristics (laying eggs), platypuses are mammals, as are bats and dolphins."
G49,general,What is the main gas that makes up the atmosphere of Mars?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,C,"The atmosphere of Mars is composed of about 95% carbon dioxide, 2.6% nitrogen, 1.9% argon, and trace amounts of oxygen and water vapor."
G50,general,Which of these is not one of the four main blood types in humans?,A,B,C,AB,C,"The four main blood types in humans are A, B, AB, and O. There is no blood type C. These types are determined by the presence or absence of A and B antigens on red blood cells."
G51,general,What does DNA stand for?,Deoxyribonucleic Acid,Dynamic Nuclear Assembly,Diverse Nucleic Alignment,Dual Nucleotide Array,A,"DNA stands for Deoxyribonucleic Acid, which is the genetic material that carries the instructions for the development, functioning, growth, and reproduction of all known organisms."
G52,general,Which of these is not a phase of matter?,Solid,Liquid,Gas,Mineral,D,"The four fundamental states or phases of matter are solid, liquid, gas, and plasma. 'Mineral' is not a phase of matter but a naturally occurring inorganic substance."
G53,general,What is the approximate value of Pi (π) to two decimal places?,3.14,3.41,3.16,3.12,A,"Pi (π) is approximately equal to 3.14159... To two decimal places, it is 3.14. It represents the ratio of a circle's circumference to its diameter."
G54,general,Which planet has the Great Red Spot?,Jupiter,Mars,Venus,Neptune,A,"The Great Red Spot is a persistent high-pressure storm on Jupiter. It has existed for at least 400 years and is large enough to contain Earth."
G55,general,What is the largest species of shark?,Great White Shark,Hammerhead Shark,Tiger Shark,Whale Shark,D,"The whale shark (Rhincodon typus) is the largest living species of shark, reaching lengths of up to 12 meters (40 feet) or more. Despite its size, it feeds mainly on plankton and is harmless to humans."
G56,general,Which of these is not a Nobel Prize category?,Literature,Economics,Mathematics,Chemistry,C,"The six Nobel Prize categories are Physics, Chemistry, Physiology or Medicine, Literature, Peace, and Economic Sciences. There is no Nobel Prize for Mathematics."
G57,general,What is the tallest mountain on Earth when measured from base to peak?,Mount Everest,Mauna Kea,K2,Mount Kilimanjaro,B,"While Mount Everest has the highest elevation above sea level, Mauna Kea in Hawaii is actually taller when measured from its oceanic base to its peak, with a total height of over 10,000 meters (33,000 feet)."
G58,general,Which of these elements is a halogen?,Neon,Chlorine,Potassium,Iron,B,"Chlorine is a halogen, belonging to Group 17 of the periodic table. Halogens are highly reactive non-metals that readily form salts with metals."
G59,general,What is the name of the galaxy that contains our solar system?,Andromeda,Triangulum,Milky Way,Messier 87,C,"Our solar system is located in the Milky Way galaxy, a spiral galaxy containing an estimated 100-400 billion stars. The Andromeda galaxy is the nearest major galaxy to ours."
G60,general,Which of these is not a type of electromagnetic radiation?,X-rays,Microwaves,Sound waves,Gamma rays,C,"Sound waves are mechanical waves that require a medium to travel through, not electromagnetic radiation. X-rays, microwaves, and gamma rays are all forms of electromagnetic radiation."
G61,general,What is the scientific name for the fear of confined spaces?,Agoraphobia,Claustrophobia,Acrophobia,Arachnophobia,B,"Claustrophobia is the fear of confined spaces. Agoraphobia is the fear of open or crowded spaces, acrophobia is the fear of heights, and arachnophobia is the fear of spiders."
G62,general,Which of these animals does not lay eggs?,Platypus,Penguin,Dolphin,Lizard,C,"Dolphins are mammals that give birth to live young. Although the platypus is a mammal, it lays eggs (one of only five monotreme species that do so). Penguins and lizards also lay eggs."
G63,general,What is the smallest unit of life that can function independently?,Cell,Organ,Molecule,Tissue,A,"The cell is the smallest unit of life that can function independently. All living organisms are composed of one or more cells, which carry out all the functions necessary for life."
G64,general,Which of these countries is not in Africa?,Kenya,Mali,Tunisia,Myanmar,D,"Myanmar (formerly Burma) is located in Southeast Asia. Kenya, Mali, and Tunisia are all countries in Africa."
G65,general,What is the name of the process by which plants make their own food?,Photosynthesis,Respiration,Transpiration,Fermentation,A,"Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize foods with carbon dioxide and water, producing oxygen as a byproduct."
G66,general,Which of these instruments measures atmospheric pressure?,Thermometer,Barometer,Hygrometer,Anemometer,B,"A barometer measures atmospheric pressure. A thermometer measures temperature, a hygrometer measures humidity, and an anemometer measures wind speed."
G67,general,What is the largest species of penguin?,Emperor Penguin,King Penguin,Adélie Penguin,Gentoo Penguin,A,"The Emperor Penguin is the largest species of penguin, standing up to 1.2 meters (4 feet) tall and weighing up to 45 kg (99 lbs)."
G68,general,Which of these is not a type of triangle based on angles?,Acute,Obtuse,Right,Parallel,D,"Triangles can be classified by their angles as acute (all angles less than 90°), obtuse (one angle greater than 90°), or right (one angle exactly 90°). 'Parallel' is not a type of triangle."
G69,general,What is the smallest unit of measurement in the metric system?,Millimeter,Micrometer,Nanometer,Picometer,D,"A picometer (pm) is 10⁻¹² meters, making it smaller than a nanometer (10⁻⁹ m), micrometer (10⁻⁶ m), and millimeter (10⁻³ m)."
